451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
150165	-	Мук пшеничная в/с СУ 2кг:8	Бакалея	Мука и мучные смеси	Мука пшеничная	Мука пшеничная
221760	2015686000051	ВОСТОЧНЫЙ ГОСТЬ Приправа к рыбе 40г :40	Бакалея	Пряности	Смеси пряностей	Смеси прочие
150560	5000159415644	SNICKERS 55-58г(Марс):48/288	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
150564	4607012930460	КУБАНСКАЯ БУРЕНКА Кефир 2,5% 0,5л т/рекс(ВБД) :10	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
150584	4607002020058	Масло крест.сладкосливочное 72,05% 200гр (Рус. Трад.):20	Молочная продукция	Масло и маргарин	Масло коровье	Масло сливочное
150923	4601727000418	Молоко паст топленое 4% 500г п/пак (Белгородский МК):6	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко топленое
150924	4601727000678	Молоко пастериз 2,5% 1л ф/п(Белгородский МК):12	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
150925	4601727000050	Сметана 15% 500г ф/п(Белгородский МК):12	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
150927	4601727000371	Кефир 2,5% 1000г фл/п(Белгородский МК):12	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
150936	4607098151070	Булка сдобная Ромашковая 350г п/у (Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
150938	4603239001457	МАЙСКАЯ ХРУСТАЛЬНАЯ Минеральная вода газ 1,5л(БелыеГоры):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
150939	4603239001495	МАЙСКАЯ ХРУСТАЛЬНАЯ Питьев вода негаз5л пл/бут(Белые горы):2	Безалкогольные напитки	Воды питьевые	Негазированные питьевые воды	Негазированные питьевые воды от 3л
150941	4603239001587	Напиток Груша газ 1,5л(Белые горы)	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
150943	4603239000276	Крем-Сода газ 1,5л(Белые горы)	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
150945	4603239000290	Напиток Экста-Ситро газ 1,5л(Белые горы)	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
151332	-	Калач сдобный Любительский 0,3кг (ОАО Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
151334	4601727000791	Творог 9% 200г фл/п(Белгородский МК):10	Молочная продукция	Кисломолочные традиционные продукты	Творог	Традиционный творог
151346	4601727000807	Сырково-творожная масса с изюмом 8% 100г (БелгородскийМК):10	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные сырки
150193	4607025398431	ДОМИК В ДЕРЕВНЕ Кефир 3,2% 0,5л т/рекс(ВБД) :12	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
150198	-	ЧУДО Сырок глазированный ванильный 23% 0,045кг(ЛМК):72	Молочная продукция	Молочно-десертные продукты	Сырки глазированные	Сырки глазированные классические
150621	3014260258276	GILLETTE Series Пена д/бритья Тонизирующ 250мл (Проктер):6	Уход и гигиена	Бритье	Для бритья	Для бритья пены
150966	5449000004864	SPRITE Напиток газированный 2л пл/бут(Кока-кола):6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
150978	4601727000401	Ряженка 4% 500г т/рекс (Белгородский МК):6	Молочная продукция	Кисломолочные традиционные продукты	Ряженка	Ряженка
151445	4607010080136	Колг.FILOROSSO DAILY 40 беж.(2):10/150	Промышленные товары	Нижнее белье	Чулочно-носочные изделия	Колготки
151485	4603239000252	Напиток Колокольчик газ 1,5л(Белые горы)	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
150286	4640005680133	Хлеб Новинка резаный бел 0,45кг(ЧП Агиров О.З.)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой нарезка
150288	4640005680034	Батон белый 0,4кг (ЧП Агиров О.З.)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
150289	4640005680041	Плетенка 0,38 кг (ЧП Агиров О.З.)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
150291	4640005680065	Хлеб Бородинский серый 0,6кг (ЧП Агиров О.З.)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
151518	4605246002700	ЖОКЕЙ Кофе По-восточному в/с вак.мол.250гр:12	Кофе, какао	Кофе	Кофе натуральный	Кофе молотый
150396	-	ЭНГЕЛЬССКОЕ Спред 0,2кг фольга(Энг МК):40	Молочная продукция	Масло и маргарин	Масло коровье	Масло сливочное
150397	-	ЭНГЕЛЬССКОЕ Спред 0,2кг пергамент(Энг МК):40	Молочная продукция	Масло и маргарин	Масло коровье	Масло сливочное
150652	4601780000592	MAKFA Вермишель корот. тонк. 500г :20	Бакалея	Макаронные изделия	Вермишель, лапша	Вермишель
150713	4601634005513	Водка Белгородская с хренком 40% 0,5л(Белвино):20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
151053	4607098151292	Батон Белгородский нарезной 0,3кг (ОАО Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
150749	4601570000023	Водка Валуйчанка 40% 0,5л (Валуйки):10	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
327632	4600761316721	Водка Буфетная традиция любительская 0,5л (Кристалл ООО) :12	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
151175	4601780000240	MAKFA Макаронные изделия рожки гладкие 500г Макфа:20	Бакалея	Макаронные изделия	Спагетти, фигурные	Фигурные
151596	8000500060230	KINDER Батончик Делис 42г(Ферреро):20	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
355333	5900950762131	Аромат на деф Др Маркус Сенсо в асс (РусХолтс):25/150	Промышленные товары	Автотовары	Освежители салона	Освежитель на дефлектор
150439	4607057270064	МОЛОЧНОЕ ИЗОБИЛИЕ Ряженка 2,5% 0,5л ф/п (Энгельский МК):10	Молочная продукция	Кисломолочные традиционные продукты	Ряженка	Ряженка
150440	4607057270088	МОЛОЧНОЕ ИЗОБИЛИЕ Снежок 2,5% 0,5л ф/п (Энгельский МК):10	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
150441	4607057270095	МОЛОЧНОЕ ИЗОБИЛИЕ Снежок 2,5% 0,5л п/пак (Энгельский МК):6	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
150458	4607022820034	КОРСАКОВСКАЯ Минеральная вода газ 1,5л ПЭТ(Домашев):6	Безалкогольные напитки	Воды питьевые	Газированные питьевые воды	Газированные питьевые воды от 0,8л
150459	4607022820072	Питьевая вода Корсаковская негаз 5л пл/бут(Домашев)	Безалкогольные напитки	Воды питьевые	Негазированные питьевые воды	Негазированные питьевые воды от 3л
150770	4601146000310	КОЛИБРИ Котлеты Киевские 600г (ООО Колибри) :15	Замороженная продукция	Замороженные полуфабрикаты	Котлеты, наггетсы, палочки	Котлеты из мяса птицы
151177	5900627003000	CILLIT Ср-во д/удаления ржав и известк нал450мл(Бенкизер):10	Бытовая химия	Средства для уборки	Чистящие средства	Чистящие средства для ванной
151203	4601727000043	Сметана 20% 500 г ф/п(Белгородский МК):12	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
151206	4605955000301	Кефир 2,5% 1л фл/п(ТОММОЛОКО)	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
151207	4605955000325	Сметана 15% 0,5л ф/п (ТОММОЛОКО)	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
151208	4605955000271	Ряженка 4% 0,5л п/пак (ТОММОЛОКО)	Молочная продукция	Кисломолочные традиционные продукты	Ряженка	Ряженка
150479	4605246001970	ПРИНЦЕССА НУРИ Чай выс.пак. с/яр 25шт:18	Чай	Черный чай	Черный чай пакетированный классический	Чай черный пакетированный классический
150492	2394598	Яблоки зеленые 1кг	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
150493	2394597	Яблоки красные свеж. отечест. 1кг	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
150494	2366068	БАНАНЫ упакованные (цена за 1кг):14	Свежие фрукты и овощи	Свежие плоды и ягоды	Бананы	Бананы
150810	-	Настольный набор детск.в ассорт.:96	Промышленные товары	Канцелярия	Офисные принадлежности	Аксессуары для рабочих столов
150829	4607098151018	Хлеб Стойленский с морской капустой рж. 0,65кг (ОАО Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный с добавками
150830	4607098150899	Батон Пектиновый 0,38кг (ОАО Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
151422	3014260214692	GILLETTE Series Гель д/бритья д/чувст кожи (Проктер):6	Уход и гигиена	Бритье	Для бритья	Для бритья гели
147471	-	Хлеб дарницкий нарезка (Пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой нарезка
147480	4603364806163	Кекс столичный 0,25кг (ПХО):12	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Прочие мелкоштучные изделия
152603	5449000011527	FANTA апельсин 0,33мл ж/б:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
147778	4603421100029	МОРОЗКО ПФ мясосод/пр Блины с мясом 420г к/уп (Морозко):12	Замороженная продукция	Замороженные полуфабрикаты	Замороженные блины	Замороженные блины несладкие
176574	4601390000371	ЯРМОЛПРОД Молоко паст 3,2% 1л п/пак (ЯКМП):8	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
148021	4607052030359	Булка повышенной калорийности 100г :30 (Соч.ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
147509	4603424000326	Сах.трубочка пломбир б/н в ш/гл 70г (Хл/К 1):40	Замороженная продукция	Мороженое	Мороженое порционное	Мороженое рожок
147512	4603424000692	Пломбир б/наполнителя 200г (Хл/К 1):24	Замороженная продукция	Мороженое	Мороженое порционное	Мороженое брикет
149294	80052760	KINDER Батончик Буэно 43г(Феррреро):30	Кондитерские изделия	Современные кондитерские изделия	Батончики	Батончики шоколадные, нуга
149297	4607097690181	Творог 5% 0,2кг фл/п (Буденновскмолпродукт):10	Молочная продукция	Кисломолочные традиционные продукты	Творог	Традиционный творог
149317	-	PEPSI Light Вода газ 0,6л ПЭТ:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
327559	2308130	Морковь по-корейски 1кг (в) (Пехотина Е.В. ИП)	Кулинария	Салаты	Салаты на масле	Морковь по-корейски
149604	3014260286279	ORAL-B Kids з/щ детская:12/96	Уход и гигиена	Средства для гигиены и ухода за детьми	Детские зубные щетки, пасты (уход)	Детские зубные щетки
147562	4607025398424	ДОМИК В ДЕРЕВНЕ Кефир 3,2% 0,5л ТБА(ВБД):12	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
147570	4600949123134	BIO MAX 5 Витаминов йогурт натурал 3,2% 125г лоток(ВБД):24	Молочная продукция	Йогурты	Йогурты вязкие	Вязкие пастеризованные йогурты
147899	4601249001979	Вермут Сальваторе крас слад 1л (Бодегас Вальдепабло) :12	Вино	Вина ароматизированные	Вина ароматизированные красные/розовые	Вина ароматизированные красные/розовые
149650	4605246002434	ПРИНЦЕССА НУРИ HG высокогорный черный байх. 100г :16	Чай	Черный чай	Черный чай байховый классический	Чай черный байховый классический
151904	2319380	Грудинка Кубанская в/с в/к мини крио мясн/пр(Микояновс):2	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености из беконной свинины
151909	2194710	Шейка Московская в/к мини в/у мясн/пр(МикояновскийМК):2	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености из мясной свинины
151923	4063793241351	Баранка Горчичная 1/с 500гр (Вол.пекарь):12	Мучные кондитерские изделия	Бараночные и сухарные изделия	Бараночные изделия	Баранки
151936	2338723	Печень куриная на подложке цена за 1кг (Ясные Зори):5	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Субпродукты курицы замороженные
151938	4601634001652	Водка Моисеевская 40% 0,5л (Белвино):20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
151999	4607004890123	HOCHLAND Сыр плавл ассорти+слив сегм 140г:15	Сыры	Плавленые сыры	Плавленые сыры	Сыры плавленые в сегментах
151864	4603793130037	Вафли Шоколадные 220гр(Вол.Пекарь) :40	Мучные кондитерские изделия	Мучные кондитерские изделия	Вафли	Традиционные
151884	4606979003507	Колбаса Докторская вар в/с 0,5кг мини мясн/пр(Микояновск):7	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
151898	2342572	Колбаса Сервелат Швейцарск в/к в/с вес кг(Микоян	Мясная гастрономия	Колбасы	Варено-копченые колбасы	Варено-копченые колбасы
151902	2194698	Карбонад Московский к/в крио мясн/пр(Микоян. МК):2	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености из мясной свинины
152125	2054354355154	КАРТОФЕЛЬ свежий 10 кг (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Картофель	Картофель не мытый, упакованный
152128	2368937	ГРУШИ свежие Урожай (цена за 1 кг):5	Свежие фрукты и овощи	Свежие плоды и ягоды	Груши	Груши
152129	2011554355018	Морковь свежая подложка 0,6 кг (цена за шт):10	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Морковь	Морковь
152130	-	Капуста белокочанная 1кг (Россия) :25	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Капуста	Капуста белокочанная
152132	2329156	СЕЛЬСКАЯ ЯРМАРКА огурцы пупырч Кубанские (в):8,5	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Огурцы	Огурцы
152134	2352340	ЯБЛОКИ ранние (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
152136	4607004890093	HOCHLAND Сыр плавл сэндвич+чизбургер тосты 150г:32	Сыры	Плавленые сыры	Плавленые сыры	Сыры плавленые в нарезке
152137	4607004890079	HOCHLAND Сыр плавл ветчина грибы тост 150г:32	Сыры	Плавленые сыры	Плавленые сыры	Сыры плавленые в нарезке
319707	7152806902194	Гриф гантельный Рега хром.  Р0234 36см:1	Промышленные товары	Спортивные товары	Товары для фитнеса	Инвентарь для фитнеса
151732	4670003440521	Кефир 2,5% 0,5л фл/п(Гормолзавод Вольский)	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
151734	4670003440071	Снежок 2,5% 0,5л фл/п(Гормолзавод Вольский)	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
151752	2092592581621	Томаты Сливка Мини (цена за шт):12	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Томаты свежие	Томаты свежие сливовидные
152524	4607116235539	Вино Монастырская Изба Вечернее кр п/сух 0,7л (Россия):6	Вино	Вина виноградные	Вина виноградные красные сухие/полусухие	Россия вина виноградные красные сухие/полусухие
152540	2394592	МАНДАРИНЫ свежие (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Мандарины	Мандарины
152605	2090490523040	КАРТОФЕЛЬ свежий 3 кг (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Картофель	Картофель не мытый, упакованный
152683	-	COCA-COLA 0,33л ж/б:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
153246	3600010013976	ФРУКТИС Шампунь д/в жирн.у кор./сух. на кон 400мл:12	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
153247	3600540380906	FRUCTIS Шампунь Свежесть 400мл(Гарньер):12	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
153248	3600542142809	FRUCTIS Шампунь Стойкий цвет 400мл(Гарньер):12	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
153054	2030724608044	СИНЬОР-РУЛЕТТО рулет клубничный 0,2кг(РКК) :15	Мучные кондитерские изделия	Мучные кондитерские изделия	Рулеты	Рулеты
153055	-	ДАФФИН КЕЙК Рулет клубничный в шок. 200 гр.(РКК):10	Мучные кондитерские изделия	Мучные кондитерские изделия	Рулеты	Рулеты
153056	-	СИНЬОР-РУЛЕТТО рулет Абрикосовый в шок. 0,2кг(РКК) :15	Мучные кондитерские изделия	Мучные кондитерские изделия	Рулеты	Рулеты
152746	4607042001086	Батончики Чайный упак. 0,3кг в.с (Орловский Хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
156668	4629418600358	Ряженка 4% 0,25кг пл/ст(Мечта Сердобск)	Молочная продукция	Кисломолочные традиционные продукты	Ряженка	Ряженка
155019	3014260219949	GILLETTE Series Гель д/бритья д/чувств кожи 75мл(Проктер):6	Уход и гигиена	Бритье	Для бритья	Для бритья гели
152727	4605246000508	ПРИНЦЕССА КАНДИ Чай Медиум лист. 100г:16	Чай	Черный чай	Черный чай байховый классический	Чай черный байховый классический
152758	2327070	Томаты отечественные тепличные 1кг(в) :8	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Томаты свежие	Томаты свежие круглые
222046	1033912313110	Мойва х/к 0,18кг к/упка(Практик-рыба):4	Рыбная гастрономия	Рыба вяленая, копченая, соленая	Рыба холодного копчения	Рыба холодного копчения Мойва
154619	3014260284350	GILLETTE Series Гель п/бритья д/чувст кожи 75мл(Проктер):6	Уход и гигиена	Бритье	После бритья	После бритья гели
153076	2353903	ЯБЛОКИ Голден Сад-Гигант,пакет свеж.(цена за кг)(фас)	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
153262	4607100970248	Рожок с повидлом 0,15кг (Хлебзавод №7)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия с начинкой
154658	2030724608136	Волшебный Десерт Торт Ванильный 250г(Звездный): 20	Мучные кондитерские изделия	Мучные кондитерские изделия	Торты	Торты
153237	1061902377163	Хлеб "Геленджикский" в/с 0,4кг (Хлеб-сервис)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой
153354	4607076450355	Батон ладушка в/с 0,25кг (Энгельсский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
153399	4607086030844	Хлеб Полесье 0,7кг (Мценский хлебокомбинат):6	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
153405	2358278	Колбаса Богородская 1 С с/к(в)(Черкизовский МПК):3,3	Мясная гастрономия	Колбасы	Сырокопченые колбасы	Сырокопченые колбасы батоны
153697	2394531	ЛУК РЕПЧАТЫЙ свеж. цена за 1кг :24,5	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Лук	Лук желтый репчатый
153698	2394527	МОРКОВЬ свеж. цена за 1кг	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Морковь	Морковь
153699	2329157	СВЕКЛА фас. п/э упак. 1кг (цена за 1кг) :1	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Свекла	Свекла
153701	2394532	КАПУСТА свеж. цена за 1кг :21	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Капуста	Капуста белокочанная
153730	2394591	ГРЕЙПФРУТ свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Грейпфрут	Грейпфрут
153479	3014260227104	GILLETTE Series Гель д/бритья Защита 200мл(Проктер):6	Уход и гигиена	Бритье	Для бритья	Для бритья гели
156667	4629418600211	Сметана 20% 0,25кг пл/ст (Мечта г.Сердобск)	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
155068	-	Пакет Благодарим за покупку белый п/э :3000	Промышленные товары	Пакеты	Пакеты-майки	Белые пакеты-майки
153319	4607018780458	Кекс Любимый 2шт 0,2кг (ХК Волжский)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Прочие мелкоштучные изделия
154930	4607129120433	Батончик с сыром 0,13кг п/э (Курский Х/К) :10	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Прочие мелкоштучные изделия
153744	2308006	ТЫКВА свеж. (цена за 1кг)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Тыква	Тыква
153745	2394524	КАРТОФЕЛЬ свеж. цена 1кг :25	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Картофель	Картофель не мытый, не упакованный
153781	4607129120105	Батон Стрелецкий в/с 0,3кг п/э (Курский Х/К) :14	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
154963	3014260243555	GILLETTE Mach3 Turbo Станок с 2 кас(Проктер):36	Уход и гигиена	Бритье	Бритвы и лезвия	Системные станки
154550	2352256	Картофель свеж. красный 1кг:24	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Картофель	Картофель не мытый, не упакованный
154935	2090726578619	Рулетик с маком 0,18кг п/э (Курский Х/К) :20	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия с начинкой
154601	4670003440101	Творог 5% 0,2кг бум/уп(Гормолзавод Вольский)	Молочная продукция	Кисломолочные традиционные продукты	Творог	Традиционный творог
151680	2090090726032	ПАПАЙЯ ГОЛД цена за шт.	Свежие фрукты и овощи	Свежие плоды и ягоды	Экзотические плоды прочие	Экзотика
151681	2310362	ГРЕЙПФРУТ в сетке свеж. (цена за 1 кг):15	Свежие фрукты и овощи	Свежие плоды и ягоды	Грейпфрут	Грейпфрут
151683	2394610	ЯБЛОКИ КУБАНИ (цена за 1 кг) :15	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
151684	2095341	Томаты Черри 0,25кг (цена за 1шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Томаты свежие	Томаты свежие черри
151688	2090090726124	Набор овощной морковь/свекла подложка (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Овощной микс	Овощной микс
151810	4605955000455	Кефир 2,5% 0,5л фл/п(ТОММОЛОКО)	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
152432	2381636	Колбаса ОхотнГОСТ к В п/к в/с н/о(в) в/у мини мясн/пр(Соч):3	Мясная гастрономия	Колбасы	Полукопченые колбасные изделия	Полукопченые колбаски
152441	-	Минтай с/м 1кг в/у (Россия)	Рыба	Рыба и морепродукты замороженные	Рыба замороженная	Рыба замороженная белых видов неразделанная
151689	2090090726131	Картофель МАРАБЕЛЬ 1,5кг сетка (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Картофель	Картофель мытый, упакованный
151717	4607046070057	Грибы Шампиньоны свеж. 0,3 кг	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Грибы	Шампиньоны
151822	4670003440132	Масло Крестьянское фол 0,2 кг 72,5% ОАО Гормолзавод Вольский	Молочная продукция	Масло и маргарин	Масло коровье	Масло сливочное
151825	2354677	СЕЛЬДЕРЕЙ стебель свеж.(цена за кг)(фас)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Сельдерей	Сельдерей стебли
151826	2360832	Слива синяя Голландия (цена за 1 кг) (фас)	Свежие фрукты и овощи	Свежие плоды и ягоды	Сливы	Сливы
151849	4603793240743	Рулет с маковой начинкой в/с 0,2кг (Волжский пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия с начинкой
151853	4603793000170	Сдоба Янтарная в/с 0,1кг (Волжский пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
151855	4603793000101	Роглик обсыпной в/с 150гр (Вол.Пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
151856	4603793250018	Батончик с отрубями в/с 200гр (Волжский пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Хлеб с отрубями
151858	4603793000040	Батон Подмосковный в/с 300гр (Волжский пекарь)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
151859	4603793000149	Батон Нарезной в/с 400гр (Вол.П)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
151862	4603793040015	Баранка Сдобная в/с 500гр (Вол. Пекарь):12	Мучные кондитерские изделия	Бараночные и сухарные изделия	Бараночные изделия	Баранки
152052	4607012700674	БЛАГОДА Твор. масса 23% изюм фл/п 0,2кг (Молочное дело):8	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные массы
152053	4607012700681	БЛАГОДА Твор. масса 23% курага фл/п 0,2кг (Молочное дело):8	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные массы
152277	4605561008289	РУССКОЕ МОРЕ Семга ф/ломт 120г в/у(РМ):5	Рыбная гастрономия	Рыба вяленая, копченая, соленая	Лососи	Лососи соленые
155281	4606338000017	4 СЕЗОНА Гавайская смесь 400г (Западный ХК ООО) :20	Замороженная продукция	Замороженные овощи	Замороженные овощные смеси	Замороженные овощные смеси
155150	4600609512438	Водка Русь 40% 0,5л (ПК Кристалл-Леф):20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
155514	2031136200031	СИНЬОР-РУЛЕТТО мини-рулеты клуб.обливной 0,175кг(РКК) :15	Мучные кондитерские изделия	Мучные кондитерские изделия	Рулеты	Рулеты
155574	-	МЕРКУРИЙ Минеральная вода газ 1,5л ПЭТ(Меркурий):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
155314	-	DOSIA Пробуждение весны конд д/белья 1000мл:12	Бытовая химия	Средства для стирки	Ополаскиватели для белья	Ополаскиватели для белья
155511	4607100040217	Рожки обсыпные 0,15кг (ООО Славянский хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
155577	4680017170154	ГОРНАЯ ПОЛЯНА Минеральн вода газ1,5л пл/бут(Горная Поляна):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
155591	4650001181963	Яйцо куриное Деревенское С1 10шт бокс:20	Яичные товары	Яйцо	Куриное	Куриное
